Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
17781326233,"Dép Quai Ngang Nam Nữ, Dép Nam Đẹp Sport , Giày Dép Đi Trong Nhà, Văn Phòng Mẫu Đẹp DP10","29,0k",20k+,"Shop phụ kiện, giày dép",10%,₫2.900,https://shopee.vn/product/187040709/17781326233,https://s.shopee.vn/3B3p2DwcYq
6849490788,"Kệ Để Bàn Chải Kem Đánh Răng , Kem Đánh Răng Tự Động Không khoan tường (Tặng kèm miếng dán+ sticker)","78,0k",70k+,TA KA STORE,11%,₫8.580,https://shopee.vn/product/35997900/6849490788,https://s.shopee.vn/30kOpuxFtp
29816681536,"Quạt gấp 180° im lặng GOOJODOQ siêu gió điều chỉnh 100 cấp độ, mini quạt di động, màn hình nguồn LED","269,0k",90k+,GoojodoqMall.VN,14%,₫37.660,https://shopee.vn/product/958778013/29816681536,https://s.shopee.vn/2qQydbxtEo
25780529054,Hộp cơm giữ nhiệt 3 tầng Lunch Box 1500ml hộp đựng cơm inox 304 Fan House tặng bộ đũa thìa,"297,0k",20k+,FAN HOUSE MALL,9%,₫26.730,https://shopee.vn/product/905004672/25780529054,https://s.shopee.vn/2g7YRIyWZn
17532975547,"Thùng 30 gói giấy ăn rút Topgia 3 màu cao cấp 4 lớp dày dặn, mềm mịn, thùng 16/36/40/46/10 gói","65,0k",1tr+,TopGia HCM,14%,₫9.100,https://shopee.vn/product/729014007/17532975547,https://s.shopee.vn/3qJVpRu5D2
17765036487,"Khăn Tắm Royal Towel 50x100cm Hoặc 60x120cm Sợi Cotton Mềm Mịn, Thấm Hút Tốt, Không Xổ Lông, Không Phai Màu","64,0k",200k+,Royal Towel,14%,₫8.960,https://shopee.vn/product/768543343/17765036487,https://s.shopee.vn/3g05d8uiY1
27383556793,Quạt mini cầm tay M2 5000mAh di động có thể sạc gió mạnh 100 tốc độ turbo phản lực màn hình hiển thị pin tặng dây đeo,"55,0k",20k+,DUYSTORE68,12%,₫6.600,https://shopee.vn/product/1385065291/27383556793,https://s.shopee.vn/3VgfQpvLt0
20655401065,"(Sỉ Toàn Quốc) Kệ Giá Để Xoong Nồi Chảo 2-3-4-5 Tầng Có Thể Điều Chỉnh, Dùng Để Trên Kệ Bếp, Gầm Bếp, Góc Bếp","169,0k",30k+,Yka HomeLuxury,9%,₫15.210,https://shopee.vn/product/98558838/20655401065,https://s.shopee.vn/3LNFEWvzDz
22587999903,Tất cả dòng Mô Hình trưng bày đủ màu đủ mã - Mô Hình 17PRM mới nhất,"176,8k",769,ShopcuaQuan_199,14%,₫24.752,https://shopee.vn/product/195165942/22587999903,https://s.shopee.vn/1qYRRm1hGi
3742934958,"Bộ Nhả Kem Đánh Răng Tự Động, Kệ Để Bàn Chải Kem Đánh Răng Cao Cấp Oenon (Tặng Miếng Dán+ Sticker )","82,0k",200k+,Shop Hoàng Yến,6%,₫4.920,https://shopee.vn/product/39228338/3742934958,https://s.shopee.vn/1gF1FT2Kbh
25176208160,"【Tặng quà/Bảo hành nửa năm】GOOJODOQ Quạt Turbo Jet 4000 mAh có thể sạc lại, cầm tay, di động, gió mạnh, tốc độ cao 100 vòng/phút","250,0k",200k+,Goojodoq Offical Shop.VN,12%,₫30.000,https://shopee.vn/product/1053077389/25176208160,https://s.shopee.vn/1Vvb3A2xwg
23671825820,Kệ để đồ kệ lưu trữ kệ gia vị nhà bếp tiết kiệm không gian tổ chức lưu trữ đồ dùng nấu ăn chống ẩm,"105,0k",3k+,LACCOHUG.VN,10%,₫10.500,https://shopee.vn/product/1003569305/23671825820,https://s.shopee.vn/1LcAqr3bHf
56803577919,Dép thời trang nam dép sandal nam AIZOMR G050 chất liệu EVA mang êm chân chống nước chống trơn trượt,"113,7k",1k+,AIZOMR Store,15%,₫17.055,https://shopee.vn/product/1253744953/56803577919,https://s.shopee.vn/2Vo8Ezz9uu
6171847320,"Dầu gội bồ kết - bưởi, dầu gội thảo dược thuần chay hỗ trợ kích mọc tóc Giọt Lành 500ml","195,0k",200k+,Giọt Lành - Vẻ đẹp Thuần Chay,9%,₫17.550,https://shopee.vn/product/275350132/6171847320,https://s.shopee.vn/2LUi2gznFt
23244410073,"Ốp Lưng iPhone TPU Silicon Mềm 4 Góc Cao Cấp, Chống Sốc, Bảo Vệ Camera - iP 6/7/8/Plus/X/XS/11/12/13/14/15/16/17/Pro/Max","14,9k",1tr+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,20%,₫2.980,https://shopee.vn/product/89827191/23244410073,https://s.shopee.vn/2BBHqO0Qas
6135532500,"Dao Victorinox răng cưa gọt hoa quả, rau củ đa năng Tomato and sausage knives (wavy edge, 11cm)","179,8k",4k+,VICTOR INOX Vietnam,4%,₫7.192,https://shopee.vn/product/182851972/6135532500,https://s.shopee.vn/20rre513vr
8922933378,Bộ ga giường cotton LIDACO kẻ sọc 3f chuyên dùng cho khách sạn đủ 9 màu miễn phí bo chun,"300,0k",10k+,LIDACO BEDDING,10%,₫30.000,https://shopee.vn/product/623633/8922933378,https://s.shopee.vn/W33rK6lya
14095909813,"Kệ Đựng Đồ Nhà Tắm Dán Tường Hình Chữ Nhật , Kệ Thép Sơn Tĩnh Điện Cao Cấp Không Rỉ Siêu Chắc Mã CNLuoi","69,0k",90k+,Kệ treo tường sài gòn,12%,₫8.280,https://shopee.vn/product/75514413/14095909813,https://s.shopee.vn/Ljdf17PJZ
25725120069,Bảo hành 6 tháng Quạt mini GOOJODOQ 100 tốc độ gió có thể điều chỉnh màn hình kỹ thuật số cầm tay,"249,0k",100k+,GoojodoqMall.VN,12%,₫29.880,https://shopee.vn/product/958778013/25725120069,https://s.shopee.vn/BQDSi82eY
23480443167,Chảo chiên rán trứng Chảo bánh khọt mini làm bánh 3 ngăn 4 ngăn chống dính khuôn chảo hình tròn dùng được bếp,"186,0k",10k+,GIA DỤNG LITI,6%,₫11.160,https://shopee.vn/product/1067796558/23480443167,https://s.shopee.vn/16nGP8fzX
23552060269,"Giấy vệ sinh treo tường TopGia đa sắc đa năng từ bột giấy thiên nhiên, 1280tờ/4lớp","129,0k",1tr+,TopGia HCM Store,13%,₫16.770,https://shopee.vn/product/1016604648/23552060269,https://s.shopee.vn/1BIkeY4Ecm
24736424832,Tủ Nhà Tắm tủ đựng mỹ phẩm 3 Tầng tủ thuốc gia đình không thấm nước không cần khoan với nhãn dán,"81,4k",10k+,Ngọc hân đồ gia dụng tổng hợp,8%,₫6.512,https://shopee.vn/product/51993766/24736424832,https://s.shopee.vn/10zKSF4rxl
25881124842,[ Áo 2 Lớp - Tặng Kính Râm ] Áo Váy Chống Nắng Toàn Thân Dành Cho Nữ Vải Hàn Lạnh Chống Tia UV,"275,0k",200k+,August.2002,15%,₫41.250,https://shopee.vn/product/58305892/25881124842,https://s.shopee.vn/qfuFw5VIk
25810898262,Bình đựng thức ăn giữ nhiệt inox 304 Elmich EL8337 dung tích 650ml,"319,0k",20k+,Elmich Việt Nam Chính Hãng,12%,₫38.280,https://shopee.vn/product/254666730/25810898262,https://s.shopee.vn/gMU3d68dj
19192149998,"[LOẠI TO ĐẶC BIỆT] Thùng 8 bịch khăn giấy rút Top Gia treo tường đa sắc 1280 tờ, siêu dai và mềm mịn","129,0k",500k+,TopGia HCM Store,13%,₫16.770,https://shopee.vn/product/1016604648/19192149998,https://s.shopee.vn/9paiyTXF2W
